URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,76.0,32.0,0.4074074036351166,0.08320493059845536,16.857142857142858,0.6078582434514638,6.986000440237729,16.857142857142858,789.0,1298.0,2.336671802773498,1.0,6.279661016949152
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,69.0,38.0,0.2897196234605643,0.11358811028281517,11.62962962962963,0.7367303609341825,4.946543996225525,11.62962962962963,694.0,942.0,1.9150743099787686,3.0,5.207006369426751
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,72.0,37.0,0.3211009144853127,0.0929241260929888,13.8,0.6197783461210571,5.767911338448424,13.8,727.0,1173.0,2.321398124467178,2.0,6.090366581415175
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,75.0,27.0,0.47058823068050754,0.10461538450808679,10.833333333333334,0.6779487179487179,4.604512820512821,10.833333333333334,661.0,975.0,2.0707692307692307,2.0,5.5148717948717945
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,62.0,25.0,0.42528735143347873,0.07512953361387777,14.846153846153847,0.7046632124352331,6.220326823435633,14.846153846153847,816.0,1158.0,2.0146804835924006,6.0,5.544041450777202
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,52.0,22.0,0.40540539992695407,0.08872901668018103,14.631578947368421,0.7062350119904077,6.135125583743532,14.631578947368421,589.0,834.0,1.9688249400479616,8.0,5.393285371702638
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,24.0,11.0,0.37142856081632686,0.07099391466329835,10.717391304347826,0.742393509127789,4.583913925390246,10.717391304347826,366.0,493.0,2.024340770791075,2.0,5.535496957403651
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0.0,1.0,-0.9999990000010001,0.12499998437500197,4.0,0.875,1.9500000000000002,4.0,7.0,8.0,1.0,0.0,3.5
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,38.0,13.0,0.49019606881968497,0.11086956497637052,12.777777777777779,0.7,5.391111111111112,12.777777777777779,322.0,460.0,1.9,0.0,5.25
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,74.0,33.0,0.3831775665123592,0.07748008683745106,17.049382716049383,0.6567704561911658,7.082461268896219,17.049382716049383,907.0,1381.0,2.1469949312092687,5.0,5.685010861694424
